Date,Open,High,Low,Close
2020-09-22 06:00:00,4.3475,5.7045,4.3475,5.006
2020-09-22 07:00:00,5.006,5.31,4.25,4.929
2020-09-22 08:00:00,4.929,7.032,4.872,6.949
2020-09-22 09:00:00,6.949,7.148,5.8,6.172
2020-09-22 10:00:00,6.172,6.317,4.981,5.481
2020-09-22 11:00:00,5.482,6.139,5.25,5.766
2020-09-22 12:00:00,5.766,6.075,5.35,5.86
2020-09-22 13:00:00,5.86,5.949,5.34,5.5
2020-09-22 14:00:00,5.5,5.597,4.956,5.17
2020-09-22 15:00:00,5.17,5.17,4.356,4.651
2020-09-22 16:00:00,4.665,4.843,4.323,4.822
2020-09-22 17:00:00,4.822,4.846,4.403,4.408
2020-09-22 18:00:00,4.408,4.476,4.075,4.21
2020-09-22 19:00:00,4.21,4.511,4.189,4.425
2020-09-22 20:00:00,4.425,4.453,4.163,4.258
2020-09-22 21:00:00,4.258,4.9,4.255,4.76
2020-09-22 22:00:00,4.76,5.314,4.531,5.217
2020-09-22 23:00:00,5.217,5.35,4.885,5.159
2020-09-23 00:00:00,5.159,5.21,4.811,4.868
2020-09-23 01:00:00,4.868,5.0,4.52,4.712
2020-09-23 02:00:00,4.712,4.936,4.525,4.927
2020-09-23 03:00:00,4.927,5.075,4.675,4.797
2020-09-23 04:00:00,4.797,4.872,4.24,4.32
2020-09-23 05:00:00,4.322,4.521,4.172,4.384
2020-09-23 06:00:00,4.384,4.608,4.256,4.337
2020-09-23 07:00:00,4.337,4.373,3.88,4.071
2020-09-23 08:00:00,4.071,4.32,4.0,4.234
2020-09-23 09:00:00,4.234,4.237,4.069,4.212
2020-09-23 10:00:00,4.212,4.328,4.1,4.235
2020-09-23 11:00:00,4.235,4.389,4.112,4.183
2020-09-23 12:00:00,4.179,4.386,4.035,4.295
2020-09-23 13:00:00,4.295,4.613,4.244,4.411
2020-09-23 14:00:00,4.411,4.446,4.16,4.221
2020-09-23 15:00:00,4.221,4.271,4.034,4.102
2020-09-23 16:00:00,4.102,4.275,4.077,4.266
