Date,Open,High,Low,Close
2019-07-20 12:00:00,225.93,226.44,225.51,225.83
2019-07-20 13:00:00,225.83,228.39,224.23,225.31
2019-07-20 14:00:00,225.31,227.2,225.25,227.14
2019-07-20 15:00:00,227.14,230.69,226.73,230.15
2019-07-20 16:00:00,230.19,235.52,229.68,234.48
2019-07-20 17:00:00,234.48,235.34,232.02,232.81
2019-07-20 18:00:00,232.81,233.34,232.37,233.04
2019-07-20 19:00:00,233.04,233.3,231.7,232.09
2019-07-20 20:00:00,232.09,232.45,231.49,232.34
2019-07-20 21:00:00,232.34,233.54,231.83,233.54
2019-07-20 22:00:00,233.54,234.69,232.58,233.47
2019-07-20 23:00:00,233.47,234.76,225.42,228.76
2019-07-21 00:00:00,228.76,229.96,227.46,229.27
2019-07-21 01:00:00,229.27,229.43,227.96,228.74
2019-07-21 02:00:00,228.74,228.74,225.3,225.74
2019-07-21 03:00:00,225.74,226.01,222.94,224.53
2019-07-21 04:00:00,224.53,227.31,223.47,226.46
2019-07-21 05:00:00,226.46,226.72,224.99,225.4
2019-07-21 06:00:00,225.4,226.36,224.7,225.3
2019-07-21 07:00:00,225.3,227.09,224.87,225.89
2019-07-21 08:00:00,225.89,227.72,224.26,227.26
2019-07-21 09:00:00,227.32,228.89,227.18,227.3
2019-07-21 10:00:00,227.3,227.98,224.69,225.34
2019-07-21 11:00:00,225.55,227.2,224.44,225.92
2019-07-21 12:00:00,225.92,226.29,223.21,223.81
2019-07-21 13:00:00,223.81,224.0,220.24,222.89
2019-07-21 14:00:00,222.89,223.27,220.57,221.74
2019-07-21 15:00:00,221.56,222.69,220.24,222.28
2019-07-21 16:00:00,222.31,223.69,220.35,220.88
2019-07-21 17:00:00,220.88,221.19,217.72,219.41
2019-07-21 18:00:00,219.41,221.96,218.75,221.79
2019-07-21 19:00:00,221.88,221.96,218.94,219.72
2019-07-21 20:00:00,219.72,223.56,219.31,222.56
2019-07-21 21:00:00,222.56,225.91,222.56,224.83
2019-07-21 22:00:00,224.83,226.65,224.1,225.15
2019-07-21 23:00:00,225.21,226.43,224.35,225.51
2019-07-22 00:00:00,225.51,228.33,224.01,225.05
2019-07-22 01:00:00,225.05,225.83,224.21,224.77
2019-07-22 02:00:00,224.72,226.93,224.72,226.78
2019-07-22 03:00:00,226.78,227.14,225.71,226.09
2019-07-22 04:00:00,226.09,226.66,224.35,224.7
2019-07-22 05:00:00,224.7,226.53,223.12,225.44
2019-07-22 06:00:00,225.33,226.53,224.74,225.41
2019-07-22 07:00:00,225.41,225.82,224.53,225.33
2019-07-22 08:00:00,225.33,225.71,223.82,224.09
2019-07-22 09:00:00,224.09,224.33,220.43,220.7
2019-07-22 10:00:00,220.7,222.77,219.28,222.04
2019-07-22 11:00:00,222.04,223.81,220.93,223.13
2019-07-22 12:00:00,223.13,223.2,221.14,222.44
2019-07-22 13:00:00,222.44,222.63,220.39,220.76
2019-07-22 14:00:00,220.76,222.03,213.98,215.45
2019-07-22 15:00:00,215.45,216.98,214.62,214.65
2019-07-22 16:00:00,214.6,215.74,213.71,214.37
2019-07-22 17:00:00,214.37,216.92,213.26,216.09
2019-07-22 18:00:00,216.09,216.23,214.97,215.92
